,0,tissue
SRX1143853,pituitary,pituitary
SRX1143854,pituitary,pituitary
SRX1143855,adrenal cortex,adrenal cortex
SRX1143856,adrenal cortex,adrenal cortex
SRX1143857,pituitary,pituitary
SRX1143858,pituitary,pituitary
SRX1143859,adrenal cortex,adrenal cortex
SRX1143860,adrenal cortex,adrenal cortex
SRX1305451,MDCK cells,MDCK
SRX1305452,MDCK cells,MDCK
SRX1305453,MDCK cells,MDCK
SRX1305454,MDCK cells,MDCK
SRX1305455,MDCK cells,MDCK
SRX1305456,MDCK cells,MDCK
SRX1621033,MDCK-II cells,MDCK
SRX1621034,MDCK-II cells,MDCK
SRX1621035,MDCK-II cells,MDCK
SRX1621036,MDCK-II cells,MDCK
SRX1621037,MDCK-II cells,MDCK
SRX1621038,MDCK-II cells,MDCK
SRX1621039,MDCK-II cells,MDCK
SRX1621040,MDCK-II cells,MDCK
SRX1621041,MDCK-II cells,MDCK
SRX1621042,MDCK-II cells,MDCK
SRX1621043,MDCK-II cells,MDCK
SRX1621044,MDCK-II cells,MDCK
SRX1621045,MDCK-II cells,MDCK
SRX1621046,MDCK-II cells,MDCK
SRX1621047,MDCK-II cells,MDCK
SRX1621048,MDCK-II cells,MDCK
SRX1621049,MDCK-II cells,MDCK
SRX2485234,lymphoma,lymphoma
SRX2485235,lymphoma,lymphoma
SRX2485236,lymphoma,lymphoma
SRX2485237,lymphoma,lymphoma
SRX2485238,lymphoma,lymphoma
SRX2485239,lymphoma,lymphoma
SRX2485240,lymphoma,lymphoma
SRX2485241,lymphoma,lymphoma
SRX2485242,lymphoma,lymphoma
SRX2485243,lymphoma,lymphoma
SRX2485244,lymphoma,lymphoma
SRX2485245,lymphoma,lymphoma
SRX2485246,lymphoma,lymphoma
SRX2485247,lymphoma,lymphoma
SRX2485248,lymphoma,lymphoma
SRX2485253,lymphoma,lymphoma
SRX2485254,lymphoma,lymphoma
SRX2485255,lymphoma,lymphoma
SRX2485256,lymphoma,lymphoma
SRX2485257,lymphoma,lymphoma
SRX2485258,lymphoma,lymphoma
SRX2732742,Normal neuroretina,neuroretina
SRX2732743,Normal neuroretina,neuroretina
SRX2732744,Normal neuroretina,neuroretina
SRX2732745,RCD1 neuroretina,neuroretina
SRX2732746,RCD1 neuroretina,neuroretina
SRX2732747,RCD1 neuroretina,neuroretina
SRX2732748,XLPRA2 neuroretina,neuroretina
SRX2732749,XLPRA2 neuroretina,neuroretina
SRX2732750,XLPRA2 neuroretina,neuroretina
SRX2983597,MDCK cells,MDCK
SRX2983598,MDCK cells,MDCK
SRX824897,left ventricle,heart
SRX824898,left ventricle,heart
SRX824899,left ventricle,heart
SRX824900,left ventricle,heart
SRX824901,left ventricle,heart
SRX824902,left ventricle,heart
SRX824903,mitral valve,heart
SRX824904,mitral valve,heart
SRX824905,mitral valve,heart
SRX824906,mitral valve,heart
SRX824907,mitral valve,heart
SRX824908,mitral valve,heart
