SourceNode,TargetNode
wogonin,TMPRSS2
rutin,TMPRSS2
fangchinoline,TMPRSS2
cyclohexane,TMPRSS2
biphenyl,TMPRSS2
protopine,TMPRSS2
linoleic acid,TMPRSS2
eugenol,TMPRSS2
capsaicin,TMPRSS2
menthol,TMPRSS2
L-valine,TMPRSS2
tryptophan,TMPRSS2
phenol,TMPRSS2
leucine,TMPRSS2
fucose,ACE2
fucose,TMPRSS2
ethanol,TMPRSS2
alanine,TMPRSS2
carotene,TMPRSS2
isoliquiritigenin,TMPRSS2
aspartate,TMPRSS2
butyrate,TMPRSS2
butanol,TMPRSS2
glucose,ACE2
acetaldehyde,TMPRSS2
柴胡,capsaicin
柴胡,capsaicin
柴胡,glucose
柴胡,tryptophan
柴胡,linoleic acid
柴胡,eugenol
柴胡,glucose
柴胡,phenol
柴胡,isoliquiritigenin
柴胡,linoleic acid
柴胡,phenol
柴胡,biphenyl
柴胡,rutin
柴胡,tryptophan
大枣,aspartate
大枣,carotene
大枣,linoleic acid
大枣,glucose
大枣,protopine
大枣,leucine
大枣,linoleic acid
大枣,alanine
大枣,L-valine
大枣,protopine
大枣,rutin
党参,butyrate
党参,butanol
党参,capsaicin
党参,capsaicin
党参,fangchinoline
党参,linoleic acid
党参,glucose
党参,glucose
党参,phenol
党参,fucose
党参,tryptophan
黄芩,linoleic acid
黄芩,eugenol
黄芩,wogonin
生姜,cyclohexane
生姜,linoleic acid
生姜,acetaldehyde
生姜,eugenol
生姜,menthol
生姜,ethanol
